tle_0	tle_1	lat	lon	norad_cat_num	satellite_name	ownership	launch_date	satellite_decay	satellite_decay_hour	rcs
1 14947U 83101  E 84249.71196237  .23830599 -10927-4 +58473-2 0  9993	2 14947 082.8401 233.0289 0013154 172.2397 196.0521 16.29061851052372	32.03933822664095	60.2568372730121	14947	COSMOS 1501 DEB         	CIS  	1983-09-30	1984-09-05	1984-09-07 00:02:00	  0.2700
1 14947U 83101  E 84249.71196237  .23830599 -10927-4 +58473-2 0  9993	2 14947 082.8401 233.0289 0013154 172.2397 196.0521 16.29061851052372	15.22372667877138	61.80267300672607	14947	COSMOS 1501 DEB         	CIS  	1983-09-30	1984-09-05	1984-09-07 00:06:00	  0.2700
1 14949U 82033 BD 84166.63901894  .30924187 +57651-4 +42383-3 0  9993	2 14949 051.6048 013.7764 0000328 032.1755 327.8096 16.49220232124684	21.198216089186595	-175.24240942182726	14949	SALYUT 7 DEB            	CIS  	1982-04-19	1984-06-16	1984-09-07 00:02:00	  0.1900
1 14949U 82033 BD 84166.63901894  .30924187 +57651-4 +42383-3 0  9993	2 14949 051.6048 013.7764 0000328 032.1755 327.8096 16.49220232124684	2.0127557896690886	-56.334928991212436	14949	SALYUT 7 DEB            	CIS  	1982-04-19	1984-06-16	1984-09-07 00:06:00	  0.1900
1 14952U 84040  C 84242.05038459  .13177577 +88301-5 +47077-3 0  9992	2 14952 072.8575 064.6459 0012712 292.0888 072.5963 16.43118396020782	4.039891688861992	156.90206742477906	14952	COSMOS 1549 DEB         	CIS  	1984-04-19	1984-08-29	1984-08-30 19:00:00	  0.6694
1 14952U 84040  C 84242.05038459  .13177577 +88301-5 +47077-3 0  9992	2 14952 072.8575 064.6459 0012712 292.0888 072.5963 16.43118396020782	12.104441610302734	158.9434470431558	14952	COSMOS 1549 DEB         	CIS  	1984-04-19	1984-08-29	1984-08-30 19:02:00	  0.6694
1 14952U 84040  C 84242.05038459  .13177577 +88301-5 +47077-3 0  9992	2 14952 072.8575 064.6459 0012712 292.0888 072.5963 16.43118396020782	28.139336069056814	163.6399260975916	14952	COSMOS 1549 DEB         	CIS  	1984-04-19	1984-08-29	1984-08-30 19:06:00	  0.6694
1 14953U 84040D   86134.68598838  .15778591 +91218-5 +91783-4 0  9996	2 14953 072.8420 341.0693 0011228 256.2879 103.7146 16.54328646119059	8.059134008315743	-2.7499940289623943	14953	COSMOS 1549 DEB         	CIS  	1984-04-19	1986-05-14	1986-05-15 19:00:00	  3.1500
1 14953U 84040D   86134.68598838  .15778591 +91218-5 +91783-4 0  9996	2 14953 072.8420 341.0693 0011228 256.2879 103.7146 16.54328646119059	-0.012279062626829675	-0.7439602660145089	14953	COSMOS 1549 DEB         	CIS  	1984-04-19	1986-05-14	1986-05-15 19:02:00	  3.1500
1 14953U 84040D   86134.68598838  .15778591 +91218-5 +91783-4 0  9996	2 14953 072.8420 341.0693 0011228 256.2879 103.7146 16.54328646119059	-16.139912886111258	3.3717960948669607	14953	COSMOS 1549 DEB         	CIS  	1984-04-19	1986-05-14	1986-05-15 19:06:00	  3.1500
1 14954U 84040  E 84175.04812829  .40442606 +83874-5 +13540-2 0  9994	2 14954 072.8593 230.6482 0011742 282.0723 078.4162 16.43563054010166	-30.84826251841745	96.61649554592873	14954	COSMOS 1549 DEB         	CIS  	1984-04-19	1984-06-23	1984-06-23 14:00:00	  1.1700
